추천표시,stock_code,stock_name,current_price,corp_code,corp_name,report_nm,rcept_dt,confidence,fx_exposure_score,base_score,negative_score,final_score,export_hits,fx_hits,hedge_hits,foreign_debt_hits,import_cost_hits,status,document_status,reason,evidence_snippet
✅,282330,BGF리테일,129300.0,01263022,BGF리테일,분기보고서 (2026.03),20260515,A,79,0.0,0,149.0,42,25,7,0,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 67건 / 환헤지/파생상품 단서 7건 / 공시신뢰도 A,"비지에프리테일 상품의 위탁관리 및 편의점 영업을 위한 상품의 공급 및 물류서비스 일체를 제공하고 있습니다.또한, 비지에프리테일 외 외부 고객사에 제3자 물류 및 수출입 물류 대행서비스를 제공함으로써 전문 물류기업으로서 성장을 이어나가고 있습니다. [식품제조/유통 사업, (주)비지에프푸드] (주)비지에프푸드는 김밥, 샌드위치,"
✅,009070,KCTC,4445.0,00103042,케이씨티시,분기보고서 (2026.03),20260515,A,78,0.0,0,148.0,74,17,6,0,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 91건 / 환헤지/파생상품 단서 6건 / 공시신뢰도 A,"해당 여부 중소기업 해당 여부 미해당 벤처기업 해당 여부 미해당 중견기업 해당 여부 해당 바. 주요사업의 내용 당사는 1973년 컨테이너 터미널 운영을 시작으로 수출입 항만하역, 컨테이너 내륙 운송, 보세장치장 운영, 중량물 육/해상 운송, 소화물 보관/배송 및 국제 복합운송, 해외 사업에 이르기까지 국내외 주요 항만과 거점"
✅,001390,KG케미칼,4715.0,00101220,KG케미칼,분기보고서 (2026.03),20260515,A,78,0.0,2,147.3,108,29,73,1,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 137건 / 환헤지/파생상품 단서 73건 / 외화부채·수입원가 부담 단서 1건 / 공시신뢰도 A,"인수하거나 화주에게 인도하는 행위이며, 항만에서 화물을 선박에 싣거나 보관/장치/운반하는 등 항만에서의 화물 유통을 수행하는 작업을 말합니다. 항만은 우리나라 수출입 물동량의 대부분을 처리하는 핵심 국가기간시설로, 전세계 교역량의 90% 정도가 항만물류 활동을 통해 처리되고 있기 때문에 항만의 경쟁력은국가경쟁력과 직결된다고"
✅,097950,CJ제일제당,198700.0,00635134,CJ제일제당,분기보고서 (2026.03),20260515,A,78,0.0,2,147.3,204,70,169,0,1,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 274건 / 환헤지/파생상품 단서 169건 / 외화부채·수입원가 부담 단서 1건 / 공시신뢰도 A,"문점,복합점,식당전문점 등 17.8 - 신경로 할인점,편의점,백화점,온라인몰 등 41.7 - 실수요 B2B업체,식음료제조업체 등 17.8 - 기타 해외거래처,로컬수출 등 22.7 - 합 계 100.0 - 2) 물류 사업 (단위 : %) 사업부문 매출유형, 품목 등 매출비중 비 고 CL사업부문 항만하역, 창고운영 및 운송 26"
✅,002460,HS화성,13330.0,00174527,HS화성,분기보고서 (2026.03),20260515,A,77,0.0,0,147.0,26,14,7,0,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 40건 / 환헤지/파생상품 단서 7건 / 공시신뢰도 A,"업 영위 9 백화점 및 대형할인점, 판매업, 슈퍼체인사업, 식료품 가공 및 제조업 일체 미영위 10 신용카드와 관련된 발행, 관리 및 부대사업 일체 미영위 11 수출입업 미영위 11 면세사업 영위 12 방송사업, 영화상영업 및 문화서비스업, 광고사업 및 광고대행업 미영위 13 출판사업 및 음반, 필름, 테이프 제작 판매업 미"
✅,000050,경방,8350.0,00101628,경방,분기보고서 (2026.03),20260515,A,76,0.0,4,144.6,60,30,66,2,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 90건 / 환헤지/파생상품 단서 66건 / 외화부채·수입원가 부담 단서 2건 / 공시신뢰도 A,"직물 기타 각종 직물의 제조 및 판매 미영위 3 사포가공업 영위 4 봉제가공업 미영위 5 임업 미영위 6 부동산개발업 영위 7 부동산의 매매 및 임대업 영위 8 수출입업 영위 9 도·소매업 및 이에 관련된 각종 물품제조업 영위 10 체육 및 건강설비 운영 영위 11 문화·예술 서비스업 미영위 12 관광, 숙박업시설 및 운영"
✅,001510,SK증권,3345.0,00131850,SK증권,분기보고서 (2026.03),20260515,A,76,0.0,4,144.6,158,41,201,2,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 199건 / 환헤지/파생상품 단서 201건 / 외화부채·수입원가 부담 단서 2건 / 공시신뢰도 A,70% 이하인 투자신탁으로 투자를 통해 취득한 수익을 투자자에게 배분해주는 상품 해외투자펀드 - 국내 금융기관에 의해 국내에 설립되어 투자자로부터 자금을 모아 해외시장에 투자하는 상품 (역내펀드=On Shore Fund) 재간접펀드 - 다른 간접투자기구가 발행한 간접투자증권에 투자자산의 50% 이상을 투자하는 간접투자기구 (즉
✅,001940,KISCO홀딩스,23250.0,00159740,KISCO홀딩스,분기보고서 (2026.03),20260515,A,76,0.0,4,144.6,22,28,12,2,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 50건 / 환헤지/파생상품 단서 12건 / 외화부채·수입원가 부담 단서 2건 / 공시신뢰도 A,"주)] 1) 판매방법 및 조건 당사는 주문 및 계획생산에 의해 국내외 유통상, 실수요자에게 판매를 하고 있으며 결제는 내수의 경우 현금 및 어음으로 이루어지며, 수출의 경우에는 신용장 (L/C) 및 현금으로 이루어 집니다. 2) 판매전략당사는 품질, 원가, 서비스 개선을 통한 고객만족강화를 판매전략으로 삼고 다양한 판로를 개"
✅,036570,NC,263000.0,00261443,NC,분기보고서 (2026.03),20260515,A,76,0.0,4,144.6,154,55,36,2,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 209건 / 환헤지/파생상품 단서 36건 / 외화부채·수입원가 부담 단서 2건 / 공시신뢰도 A,"대출 기관 부채나 우발부채에 대한 담보로 제공된 금융자산 6,076 담보제공자산 임직원의 주택자금 대출과 관련 담보제공 (4) 연결실체는 리니지 및 관련 게임 수출을 위하여 Gamania Digital Entertainment Co., Ltd.(대만) 및 Tencent(중국)와 리니지 게임 라이센싱 계약을 체결하고 있으며,"
✅,096760,JW홀딩스,3850.0,00632304,JW홀딩스,분기보고서 (2026.03),20260515,A,76,0.0,4,144.6,138,23,41,1,1,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 161건 / 환헤지/파생상품 단서 41건 / 외화부채·수입원가 부담 단서 2건 / 공시신뢰도 A,"익, 브랜드 사용료 수입, 계열사 관리 등을 통해서도 수익을 창출하고 있습니다. 사업부문 주요제품 2026년 1분기 매출비중 지주사업 배당수입외 58.2% 의약품수출입업 페넴류, 수액류 외 41.8% 당사의 2026년 1분기 영업수익은 전년 동기 대비 25.53% 감소한 205억원이며 주요매출 품목별로는 영양수액 51억원,"
✅,181710,NHN,39800.0,00983271,NHN,분기보고서 (2026.03),20260515,A,76,0.0,4,144.6,43,24,81,2,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 67건 / 환헤지/파생상품 단서 81건 / 외화부채·수입원가 부담 단서 2건 / 공시신뢰도 A,"다. 디시디아 듀엘럼 파이널판타지는 현대 도쿄의 거리를 배경으로 '파이널 판타지' IP 시리즈 전사들이 등장하는 보스 토별형 팀 배틀 게임으로, 2026년 3월 글로벌 출시되었습니다. 모바일 환경에 최적화된 심플한 조작법을 지원하며, 지속적으로 신규 캐릭터가 업데이트되어 재미 요소를 한층 강화하고 있습니다. 개발사 NHN Pl"
✅,234080,JW생명과학,11410.0,00225706,JW생명과학,분기보고서 (2026.03),20260515,A,76,0.0,4,144.6,66,18,34,2,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 84건 / 환헤지/파생상품 단서 34건 / 외화부채·수입원가 부담 단서 2건 / 공시신뢰도 A,는 제33기 1분기 별도 손익계산서 기준 매출 약 593억을 달성하였으며 이 중 계열회사인 JW중외제약이 74.7%이상을 차지하고 있습니다. 관계사 매출 이외에 수출은 물론 B2B 사업 시장 경쟁력 강화를 통해 지속적인 성장을 이끌어 갈 것이며 관련 의료분야의 새로운 시장 개척 또한 모색하고 있습니다.- 당사는 글로벌 수액제
✅,001040,CJ,174500.0,00148540,CJ,분기보고서 (2026.03),20260515,A,74,0.0,6,141.9,211,72,108,2,1,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 283건 / 환헤지/파생상품 단서 108건 / 외화부채·수입원가 부담 단서 3건 / 공시신뢰도 A,",639 100.0 3,481,082 100.0 3,224,779 100.0 ※ 본 재무정보는 연결기준으로 작성되었습니다. (3) 지역 유형별 매출 당사의 경우 수출에 대한 매출비중이 크지 않아 지역정보 대신 내수와 수출만 구분하여 표시하였습니다. (단위:백만원, %) 구 분 2026년 1분기 2025년 1분기 2025년 2"
✅,012320,경동인베스트,49150.0,00143527,경동인베스트,분기보고서 (2026.03),20260515,A,74,0.0,6,141.9,13,38,14,3,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 51건 / 환헤지/파생상품 단서 14건 / 외화부채·수입원가 부담 단서 3건 / 공시신뢰도 A,"위: 백만원, %) 사업부문 매출유형 품 목 제50기 1분기 제49기 제48기 매출액 비율 매출액 비율 매출액 비율 지주사업 상품/용역 지주사업 및부동산임대 등 수출 - - - - - - 내수 6,826 12.6 13,064 4.7 8,025 2.8 플랜트/물류서비스 용역 플랜트: 가스외 시설공사 등물류: 창고보관/복합주선"
✅,025530,SJM홀딩스,3500.0,00181943,에스제이엠홀딩스,분기보고서 (2026.03),20260515,A,74,0.0,6,141.9,91,71,42,3,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 162건 / 환헤지/파생상품 단서 42건 / 외화부채·수입원가 부담 단서 3건 / 공시신뢰도 A,"금속관 이음쇠 제조 및 판매업 5) 자동차 부품 제조 및 판매업 6) 급·배수 위생설비의 제조 및 판매업 7) 기계장치 및 치공구 설계, 제작 및 판매업 8) 수출입업 9) 해외제조 및 판매업 10) 전자,전기,통신기계,기구 및 그 부품의 제작,판매,임대 및 개발 서비스업 11) 정보 서비스업 12) 무역업 13) 환경 오"
✅,373220,LG에너지솔루션,400000.0,01515323,LG에너지솔루션,분기보고서 (2026.03),20260514,A,74,0.0,6,141.9,328,86,427,0,3,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 414건 / 환헤지/파생상품 단서 427건 / 외화부채·수입원가 부담 단서 3건 / 공시신뢰도 A,"67 25,318,570 27,099,605 주1) 상기 금액은 누계 기준으로 작성되었습니다. 주2) 각 법인들이 속한 국가내 발생 매출은 내수, 국가외 매출은 수출로 집계되었습니다. 2) 판매경로, 방법, 전략, 주요매출처 등 (1) 판매경로 - 당사는 본사의 공장 및 해외 생산법인에서 제품을 생산하며, 제품 판매는 본사"
✅,383800,LX홀딩스,8150.0,01562589,LX홀딩스,분기보고서 (2026.03),20260515,A,74,0.0,6,141.9,186,75,63,3,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 261건 / 환헤지/파생상품 단서 63건 / 외화부채·수입원가 부담 단서 3건 / 공시신뢰도 A,"고 있습니다. 2026년 1분기 누계 기준 Trading/신성장 부문의 매출액은 약 1조 9,627억원으로 이는 전체 매출액 중 46.6%에 해당합니다. 이 중 수출 비중은 약 30.4%, 내수 비중은 약 15.4%, 기타 비중은 약 0.8% 입니다. 구분 2025.04 2025.05 2025.06 2025.07 2025.0"
✅,011420,갤럭시아에스엠,1430.0,00129554,갤럭시아에스엠,분기보고서 (2026.03),20260515,A,72,0.0,2,141.3,10,29,10,1,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 39건 / 환헤지/파생상품 단서 10건 / 외화부채·수입원가 부담 단서 1건 / 공시신뢰도 A,"적은 다음과 같습니다. 구 분 사업목적 사업영위 여부 1 광고대행 및 광고제작업 영위 2 스포츠마케팅 및 스포츠매니지먼트업 영위 3 문화, 기타 영화의 제작 및 수출입업 미영위 4 방송프로그램 제작, 판매업 미영위 5 기획물 제작 및 이벤트업 영위 6 옥외광고업 및 그 외 기타 광고업 영위 7 사업시설 유지관리 서비스업 영위"
✅,035250,강원랜드,15700.0,00255619,강원랜드,분기보고서 (2026.03),20260515,A,70,0.0,0,140.0,20,10,10,0,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 30건 / 환헤지/파생상품 단서 10건 / 공시신뢰도 A,"호텔, 콘도, 스키장, 골프장, 워터월드 등의 리조트 시설을 갖추고 있어, 복합리조트를 지향하는 카지노 산업의 세계적 추세에 어깨를 나란히 하고 있습니다.(3) 해외시장 현황해외 카지노 시장은 최근 다양한 변화와 함께 빠르게 재편되고 있습니다. 특히 아시아 주요 카지노 시장인 마카오와 싱가포르는 기존 카지노 시설을 복합리조트(I"
✅,000120,CJ대한통운,82700.0,00113410,CJ대한통운,분기보고서 (2026.03),20260515,A,72,0.0,8,139.2,103,17,25,4,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 120건 / 환헤지/파생상품 단서 25건 / 외화부채·수입원가 부담 단서 4건 / 공시신뢰도 A,(1등급)여주F/C (1등급)부산스타벅스센터(1등급)이천F/C(1등급)이천F/C 2(1등급)인천ICC2(1등급)안성MPHUB(1등급)용인2F/C(1등급) AEO(수출입안전관리우수업체) 관세법 관세청 2011.05 2015.10 2017.01 2017.04 2017.04 2029.052030.102027.012027.04202
