name,ticker,country,currency,exchange,status,last_date,current_close,split_buy_low_ref,split_buy_high_ref,split_buy_ref,target1_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,last_volume,last_trading_value,avg20_trading_value,low_liquidity,foreign_net_5d_value,foreign_net_20d_value,foreign_net_60d_value,institution_net_5d_value,institution_net_20d_value,institution_net_60d_value,data_rows,source_used,error,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,corp_code,corp_name,corp_code_source,corp_identity_status,corp_identity_reason,corp_candidate_count,corp_selection_method,financial_data_status,financial_source_status,financial_basis,financial_report_year,financial_report_code,financial_report_name,financial_fs_div,financial_currency,revenue,net_income,total_assets,total_liabilities,total_equity,previous_revenue,previous_operating_profit,previous_net_income,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,debt_ratio_pct,roe_annualized_pct,earnings_trend,market_cap,listed_shares,valuation_price_basis_date,eps_annualized,bps,per_annualized,pbr,valuation_data_status,valuation_basis,financial_missing_fields,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst
LS,006260,KR,KRW,KOSPI,OK,2026-08-11,"337,000 🔴",273500.0,316500.0,316500.0,365500.0,263500.0,19650.0,5.35,2.3,221000.0,604000.0,223500.0,553000.0,173.3,26.5,130876.0,42207510000.0,45986943675.0,False,,,,,,,63,pykrx_adjusted,,476090000000,KRW,FALSE,2026 1분기보고서,OK,00105952,LS,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,9504447000000.0,241907000000.0,27620017000000.0,19867904000000.0,7752113000000.0,6913573000000.0,304505000000.0,141111000000.0,37.48,56.35,71.43,5.01,256.29,12.48,흑자지속,11403600000000.0,31200000.0,2026-06-30,31013.72,248465.16,11.79,1.47,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"자사주처분,주요주주변동",20260715,주요사항보고서(자기주식처분결정)(자회사의 주요경영사항)              ,2,2026-08-12T09:14:48+09:00
LS ELECTRIC,010120,KR,KRW,KOSPI,OK,2026-08-11,"208,500 🟠",170300.0,199100.0,199100.0,231500.0,163800.0,13060.0,5.98,2.6,148000.0,307500.0,150300.0,289000.0,107.77,34.48,334361.0,67875283000.0,164664031425.0,False,,,,,,,63,pykrx_adjusted,,126567079934,KRW,FALSE,2026 1분기보고서,OK,,,,MISMATCH,KRX 종목명=LS ELECTRIC; OpenDART 후보=엘에스일렉트릭,1,NO_NAME_MATCH,LIMITED,NO_CORP_CODE,,,,,,KRW,,,,,,,,,,,,,,,,,,,,,,,LIMITED_NO_FINANCIAL_DATA,,"revenue,operating_profit,net_income,total_assets,total_liabilities,total_equity",LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"자사주처분,주요주주변동",20260804,임원ㆍ주요주주특정증권등소유상황보고서,4,2026-08-12T09:14:48+09:00
LS마린솔루션,060370,KR,KRW,KOSDAQ,OK,2026-08-11,"32,300 🟦",28500.0,31450.0,31450.0,34800.0,27850.0,1337.0,4.62,2.7,22450.0,43450.0,23050.0,40550.0,93.54,44.76,82892.0,2640110200.0,3625621782.0,True,,,,,,,63,pykrx_adjusted,,4215203225,KRW,FALSE,2026 1분기보고서,OK,00225742,LS마린솔루션,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,52794324941.0,6106653037.0,768227074011.0,142238619362.0,625988454649.0,44480427390.0,3019344752.0,2680964173.0,18.69,39.61,127.78,7.98,22.72,3.9,흑자지속,1418284886100.0,52238854.0,2026-06-30,467.59,11983.2,58.06,2.27,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,주요주주변동,20260701,임원ㆍ주요주주특정증권등소유상황보고서,2,2026-08-12T09:14:48+09:00
NVIDIA,NVDA,US,USD,NASDAQ,OK,2026-08-11,217.5,206.39,215.32,215.32,226.26,204.17,4.44,2.12,1.9,189.8,236.54,190.01,235.74,24.63,59.26,95707655.0,20816414962.0,26018871606.0,False,,,,,,,63,yfinance_close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK,034730,KR,KRW,KOSPI,OK,2026-08-11,"545,000 🔴",454500.0,515000.0,515000.0,593000.0,436500.0,31250.0,5.02,1.9,450000.0,883000.0,468500.0,858000.0,96.22,17.09,116923.0,61267652000.0,123807416750.0,False,,,,,,,63,pykrx_adjusted,,3673119000000,KRW,FALSE,2026 1분기보고서,OK,00181712,SK,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,36751262000000.0,9906258000000.0,228766077000000.0,131728183000000.0,97037894000000.0,30899975000000.0,427310000000.0,3590712000000.0,18.94,759.59,175.89,9.99,135.75,40.83,흑자지속,60467254302000.0,72502703.0,2026-06-30,546531.79,1338403.81,1.53,0.62,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"CB,CB발행,감자,대량보유,자사주처분,주요주주변동",20260803,주요사항보고서(전환사채권발행결정),12,2026-08-12T09:14:48+09:00
SK스퀘어,402340,KR,KRW,KOSPI,OK,2026-08-11,"1,024,000 🔴",776000.0,920000.0,920000.0,1125000.0,745000.0,82000.0,6.36,2.1,768000.0,2189000.0,799000.0,1970000.0,185.03,12.46,494514.0,467315730000.0,924337204500.0,False,,,,,,,63,pykrx_adjusted,,8278295000000,KRW,FALSE,2026 1분기보고서,OK,01596425,SK스퀘어,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,300349000000.0,8374748000000.0,38983425000000.0,2720532000000.0,36262893000000.0,345945000000.0,1654081000000.0,1612259000000.0,-13.18,400.48,419.44,2756.23,7.5,92.38,흑자지속,223933381042000.0,131958386.0,2026-06-30,253860.27,274805.52,6.68,6.18,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,유상증자,자사주처분,주요주주변동",20260807,주요사항보고서(자기주식처분결정)(자회사의 주요경영사항)              ,6,2026-08-12T09:14:48+09:00
SK이노베이션,096770,KR,KRW,KOSPI,OK,2026-08-11,"122,400 🟦",114200.0,122900.0,122900.0,125700.0,112200.0,3965.0,3.62,2.0,87700.0,136400.0,89500.0,132200.0,55.53,74.74,758130.0,94083933000.0,112470672385.0,False,,,,,,,63,pykrx_adjusted,,2162165204000,KRW,FALSE,2026 1분기보고서,OK,00631518,SK이노베이션,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,24212058919000.0,896089729000.0,110123705338000.0,72013667206000.0,38110038132000.0,21026126511000.0,-30738187000.0,-125616620000.0,15.15,7134.13,813.35,8.93,188.96,9.41,흑자전환,16043109581200.0,169052788.0,2026-06-30,21202.6,225432.77,4.48,0.42,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,감자,20260521,[기재정정]감자결정(종속회사의주요경영사항)              ,1,2026-08-12T09:14:48+09:00
SK하이닉스,000660,KR,KRW,KOSPI,OK,2026-08-11,"1,504,000 🔴",1258000.0,1388000.0,1388000.0,1698000.0,1209000.0,124200.0,6.06,2.1,1246000.0,2987000.0,1322000.0,2919000.0,139.73,10.28,3817655.0,5440158375000.0,10209489875700.0,False,,,,,,,63,pykrx_adjusted,,37610283000000,KRW,FALSE,2026 1분기보고서,OK,00164779,SK하이닉스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,52576287000000.0,40345909000000.0,222828744000000.0,58448945000000.0,164379799000000.0,17639141000000.0,7440504000000.0,8108195000000.0,198.07,405.48,397.59,71.53,35.56,98.18,흑자지속,1888661267250000.0,712702365.0,2026-06-30,226439.04,230642.98,11.7,11.49,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,유상증자,자사주처분,주요주주변동",20260807,주요사항보고서(자기주식처분결정),17,2026-08-12T09:14:48+09:00
대한전선,001440,KR,KRW,KOSPI,OK,2026-08-11,"29,450 🔴",23650.0,27750.0,27750.0,32350.0,22750.0,1852.0,5.2,2.4,20550.0,71400.0,20800.0,67200.0,247.45,15.24,1505475.0,42604942500.0,58626369235.0,False,,,,,,,63,pykrx_adjusted,,60411051450,KRW,FALSE,2026 1분기보고서,OK,00113207,대한전선,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,1083362142421.0,-6844458203.0,3507490053466.0,1892233504699.0,1615256548767.0,855455851533.0,27104884981.0,29378883685.0,26.64,122.88,-123.3,5.58,117.15,-1.69,흑자지속,6644149004400.0,195992596.0,2026-06-30,-139.69,8241.42,,4.11,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-12T09:14:48+09:00
덕산테코피아,317330,KR,KRW,KOSDAQ,OK,2026-08-11,"11,320",9640.0,11160.0,11160.0,12890.0,9290.0,692.0,4.83,2.4,7850.0,30600.0,8610.0,27900.0,289.81,15.47,74951.0,852192870.0,699224332.0,True,,,,,,,63,pykrx_adjusted,,-10382543408,KRW,TRUE,2026 1분기보고서,OK,01021666,덕산테코피아,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,39140413521.0,-15109420967.0,671615641790.0,572974315042.0,98641326748.0,24249143082.0,-9730032827.0,-14902449658.0,61.41,-6.71,-1.39,-26.53,580.87,-61.27,적자지속,257800192560.0,20476584.0,2026-06-30,-2951.55,4817.27,,2.61,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,주요주주변동,20260630,임원ㆍ주요주주특정증권등소유상황보고서,1,2026-08-12T09:14:48+09:00
두산로보틱스,454910,KR,KRW,KOSPI,OK,2026-08-11,"76,300 🟠",59900.0,72400.0,72400.0,86600.0,57000.0,5690.0,5.88,2.2,54200.0,170000.0,55400.0,166700.0,213.65,17.18,449135.0,33280903500.0,43670554120.0,False,,,,,,,63,pykrx_adjusted,,-12069485926,KRW,TRUE,2026 1분기보고서,OK,01105153,두산로보틱스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,15294798751.0,-9165193026.0,401755619447.0,60652058345.0,341103561102.0,5279512001.0,-12106456584.0,-9417559053.0,189.7,0.31,2.68,-78.91,17.78,-10.75,적자지속,5853244194000.0,64819980.0,2026-06-30,-565.58,5262.32,,17.16,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260609,주식등의대량보유상황보고서(일반),1,2026-08-12T09:14:48+09:00
두산에너빌리티,034020,KR,KRW,KOSPI,OK,2026-08-11,"80,300 🔴",69400.0,76900.0,76900.0,85300.0,67800.0,3380.0,3.92,2.1,57000.0,134000.0,60200.0,125600.0,135.09,27.14,1423064.0,110856685600.0,172563161525.0,False,,,,,,,63,pykrx_adjusted,,233514000000,KRW,FALSE,2026 1분기보고서,OK,00159616,두산에너빌리티,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,4261130000000.0,60226000000.0,28695055000000.0,16251439000000.0,12443616000000.0,3748574000000.0,142475000000.0,-21157000000.0,13.67,63.9,384.66,5.48,130.6,1.94,흑자지속,55600707472800.0,640561146.0,2026-06-30,376.08,19426.12,230.8,4.47,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,대량보유,20260731,주식등의대량보유상황보고서(약식),4,2026-08-12T09:14:48+09:00
미래에셋벤처투자,100790,KR,KRW,KOSDAQ,OK,2026-08-11,"16,210 🔴",11360.0,16120.0,16120.0,21550.0,10280.0,2160.0,6.89,1.9,10000.0,70700.0,10530.0,67400.0,607.0,11.15,1537882.0,25790281140.0,8262941834.0,True,,,,,,,63,pykrx_adjusted,,15089753412,KRW,FALSE,2026 1분기보고서,OK,00340096,미래에셋벤처투자,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,53689020705.0,11232013411.0,1080580126468.0,690958881165.0,389621245303.0,18427313683.0,-1373272870.0,-1453826598.0,191.36,1198.82,872.58,28.11,177.34,11.53,흑자전환,1031149145940.0,53124634.0,2026-06-30,845.71,7334.1,22.95,2.65,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,주요주주변동,20260810,임원ㆍ주요주주특정증권등소유상황보고서,3,2026-08-12T09:14:48+09:00
