rank,cycle_marker,status_flag,code,name,market,asof_date,close,cycle_count_6m,avg_cycle_days,avg_swing_pct,latest_position,buy_range,sell_range,avg_daily_move_text,stop_price,low_6m,high_6m,range_6m_pct,position_in_6m_range_pct,avg_trading_value,liquidity_flag,score,reason,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst
11,🔵,✅,007340,DN오토모티브,KOSPI,2026-07-02,37850,6,28.8,37.53,중간권,"34,450원~37,450원","40,850원~43,300원","약 ±1,368원 내외 (±3.23%)",33750,22950,54200,136.17,47.68,7167666971,False,170.0,6개월 대형 월간 반복사이클 6회 확인; 평균 28.8거래일 주기; 평균 파동폭 37.53%; 중간권,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,대량보유,20260604,주식등의대량보유상황보고서(일반),5,2026-07-03T10:05:51+09:00
12,🔵,✅,499790,GS피앤엘,KOSPI,2026-07-02,38300,6,28.5,32.79,저점권,"33,900원~37,750원","42,200원~45,350원","약 ±1,764원 내외 (±3.78%)",33000,33300,67000,101.2,14.84,6857221867,False,170.0,6개월 대형 월간 반복사이클 6회 확인; 평균 28.5거래일 주기; 평균 파동폭 32.79%; 저점권,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-07-03T10:05:51+09:00
13,🔵,✅,322000,HD현대에너지솔루션,KOSPI,2026-07-02,134100,6,19.8,38.3,저점권 반등 초입,"115,100원~131,000원","156,500원~174,900원","약 ±10,190원 내외 (±5.84%)",110600,50300,256000,408.95,40.74,44453809382,False,169.0,6개월 대형 월간 반복사이클 6회 확인; 평균 19.8거래일 주기; 평균 파동폭 38.3%; 저점권 반등 초입,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260701,주식등의대량보유상황보고서(약식),1,2026-07-03T10:05:51+09:00
14,🔵,✅,475150,SK이터닉스,KOSPI,2026-07-02,52700,6,26.2,65.22,중간권,"45,550원~51,800원","59,000원~64,200원","약 ±2,865원 내외 (±6.08%)",44100,18840,69300,267.83,67.1,298521112377,False,167.0,6개월 대형 월간 반복사이클 6회 확인; 평균 26.2거래일 주기; 평균 파동폭 65.22%; 중간권,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,대량보유,20260701,주식등의대량보유상황보고서(약식),5,2026-07-03T10:05:51+09:00
15,🔵,✅,090460,비에이치,KOSPI,2026-07-02,19160,6,22.0,38.02,저점권,"18,010원~18,970원","22,500원~25,250원","약 ±1,528원 내외 (±5.30%)",18360,15060,43400,188.18,14.47,12934328898,False,160.0,6개월 대형 월간 반복사이클 6회 확인; 평균 22.0거래일 주기; 평균 파동폭 38.02%; 저점권,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"교환청구,대량보유,신주인수권,전환청구,주요주주변동",20260702,임원ㆍ주요주주특정증권등소유상황보고서,7,2026-07-03T10:05:51+09:00
16,🔵,✅,010820,퍼스텍,KOSPI,2026-07-02,6060,6,28.7,52.53,저점권,"5,790원~5,890원","7,310원~8,330원",약 ±568원 내외 (±5.68%),5560,3830,18730,389.03,14.97,12128032775,False,160.0,6개월 대형 월간 반복사이클 6회 확인; 평균 28.7거래일 주기; 평균 파동폭 52.53%; 저점권,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-07-03T10:05:51+09:00
17,🔵,✅,003530,한화투자증권,KOSPI,2026-07-02,4720,6,28.0,36.77,저점권,"4,595원~4,650원","5,240원~5,660원",약 ±235원 내외 (±3.50%),4415,4550,10300,126.37,2.96,7573847957,False,160.0,6개월 대형 월간 반복사이클 6회 확인; 평균 28.0거래일 주기; 평균 파동폭 36.77%; 저점권,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,주요주주변동,20260624,임원ㆍ주요주주특정증권등소유상황보고서,3,2026-07-03T10:05:51+09:00
18,🔵,🟡̲,001200,유진투자증권,KOSPI,2026-07-02,4220,6,29.2,32.96,저점권,"3,950원~4,170원","4,600원~4,915원",약 ±174원 내외 (±3.39%),3795,3355,6920,106.26,24.26,3054758607,True,160.0,6개월 대형 월간 반복사이클 6회 확인; 평균 29.2거래일 주기; 평균 파동폭 32.96%; 저점권; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-07-03T10:05:51+09:00
19,🔵,🟡̲,002780,진흥기업,KOSPI,2026-07-02,1142,6,22.7,31.56,중간권,"1,036원~1,129원","1,236원~1,312원",약 ±43원 내외 (±4.21%),1014,663,1645,148.11,48.78,1736040227,True,160.0,6개월 대형 월간 반복사이클 6회 확인; 평균 22.7거래일 주기; 평균 파동폭 31.56%; 중간권; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-07-03T10:05:51+09:00
20,🔵,🟡̲,192650,드림텍,KOSPI,2026-07-02,4640,6,29.5,22.45,저점권,"4,175원~4,580원","5,060원~5,410원",약 ±192원 내외 (±3.59%),4065,4135,9120,120.56,10.13,4332721387,True,150.0,6개월 대형 월간 반복사이클 6회 확인; 평균 29.5거래일 주기; 평균 파동폭 22.45%; 저점권; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-07-03T10:05:51+09:00
21,🔵,🟡̲,016380,KG스틸,KOSPI,2026-07-02,5300,6,27.7,22.76,저점권,"5,000원~5,250원","5,670원~5,970원",약 ±168원 내외 (±2.77%),4800,4950,7900,59.6,11.86,2554813036,True,150.0,6개월 대형 월간 반복사이클 6회 확인; 평균 27.7거래일 주기; 평균 파동폭 22.76%; 저점권; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"자사주처분,주요주주변동",20260610,임원ㆍ주요주주특정증권등소유상황보고서,19,2026-07-03T10:05:51+09:00
22,🔵,🟡̲,004440,삼일씨엔에스,KOSPI,2026-07-02,6080,6,27.7,38.69,저점권 반등 초입,"5,540원~6,020원","6,560원~6,940원",약 ±216원 내외 (±3.43%),5430,4300,11070,157.44,26.29,1774408059,True,150.0,6개월 대형 월간 반복사이클 6회 확인; 평균 27.7거래일 주기; 평균 파동폭 38.69%; 저점권 반등 초입; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-07-03T10:05:51+09:00
23,🔵,🟡̲,001500,현대차증권,KOSPI,2026-07-02,8140,6,24.0,24.53,저점권,"7,700원~8,060원","8,760원~9,260원",약 ±281원 내외 (±2.76%),7390,7620,14880,95.28,7.16,1604407738,True,150.0,6개월 대형 월간 반복사이클 6회 확인; 평균 24.0거래일 주기; 평균 파동폭 24.53%; 저점권; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-07-03T10:05:51+09:00
24,🔵,🟡̲,183190,아세아시멘트,KOSPI,2026-07-02,9350,6,28.5,17.97,저점권,"8,740원~9,260원","9,890원~10,330원",약 ±244원 내외 (±2.39%),8620,8520,13830,62.32,15.63,906503563,True,150.0,6개월 대형 월간 반복사이클 6회 확인; 평균 28.5거래일 주기; 평균 파동폭 17.97%; 저점권; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260508,주식등의대량보유상황보고서(약식),2,2026-07-03T10:05:51+09:00
25,🔵,🟡̲,126720,수산인더스트리,KOSPI,2026-07-02,21900,6,27.0,25.41,저점권,"19,990원~21,650원","23,600원~25,000원",약 ±770원 내외 (±2.82%),19590,19790,36400,83.93,12.7,797722429,True,150.0,6개월 대형 월간 반복사이클 6회 확인; 평균 27.0거래일 주기; 평균 파동폭 25.41%; 저점권; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,주요주주변동,20260423,임원ㆍ주요주주특정증권등소유상황보고서,1,2026-07-03T10:05:51+09:00
26,🔵,🟡̲,034830,한국토지신탁,KOSPI,2026-07-02,1157,6,27.5,22.12,저점권,"1,087원~1,145원","1,219원~1,270원",약 ±28원 내외 (±2.10%),1073,1039,1878,80.75,14.06,665720860,True,150.0,6개월 대형 월간 반복사이클 6회 확인; 평균 27.5거래일 주기; 평균 파동폭 22.12%; 저점권; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260701,임원ㆍ주요주주특정증권등소유상황보고서,4,2026-07-03T10:05:51+09:00
27,🔵,🟡̲,214420,토니모리,KOSPI,2026-07-02,5230,6,27.2,22.15,저점권,"4,825원~5,180원","5,590원~5,880원",약 ±163원 내외 (±2.68%),4740,4470,9860,120.58,14.1,635990719,True,150.0,6개월 대형 월간 반복사이클 6회 확인; 평균 27.2거래일 주기; 평균 파동폭 22.15%; 저점권; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-07-03T10:05:51+09:00
28,🔵,🟡̲,286940,롯데이노베이트,KOSPI,2026-07-02,17560,6,23.8,17.8,저점권,"16,370원~17,380원","18,730원~19,690원",약 ±533원 내외 (±2.55%),15960,16210,25400,56.69,14.69,590635922,True,150.0,6개월 대형 월간 반복사이클 6회 확인; 평균 23.8거래일 주기; 평균 파동폭 17.8%; 저점권; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-07-03T10:05:51+09:00
29,🔵,🟡̲,000320,노루홀딩스,KOSPI,2026-07-02,16000,6,26.5,21.03,저점권,"15,300원~15,840원","16,830원~17,500원",약 ±376원 내외 (±1.98%),14870,15150,28900,90.76,6.18,217913132,True,150.0,6개월 대형 월간 반복사이클 6회 확인; 평균 26.5거래일 주기; 평균 파동폭 21.03%; 저점권; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,"대량보유,주요주주변동",20260508,임원ㆍ주요주주특정증권등소유상황보고서,2,2026-07-03T10:05:51+09:00
30,🔵,🟡̲,001460,BYC,KOSPI,2026-07-02,34550,6,27.2,24.02,저점권,"32,200원~34,200원","36,600원~38,300원",약 ±943원 내외 (±2.28%),31700,31150,71500,129.53,8.43,134359143,True,150.0,6개월 대형 월간 반복사이클 6회 확인; 평균 27.2거래일 주기; 평균 파동폭 24.02%; 저점권; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260630,임원ㆍ주요주주특정증권등소유상황보고서,12,2026-07-03T10:05:51+09:00
31,🔵,🟡̲,030610,교보증권,KOSPI,2026-07-02,9750,6,21.8,23.91,저점권,"9,110원~9,650원","10,510원~11,140원",약 ±348원 내외 (±2.87%),8750,9020,18220,102.0,7.93,1050184431,True,142.0,6개월 대형 월간 반복사이클 6회 확인; 평균 21.8거래일 주기; 평균 파동폭 23.91%; 저점권; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-07-03T10:05:51+09:00
32,🔵,🟡̲,336370,솔루스첨단소재,KOSPI,2026-07-02,8500,6,24.0,37.75,저점권,"8,080원~8,330원","9,760원~10,790원",약 ±573원 내외 (±5.07%),7760,6880,16900,145.64,16.17,4956097751,True,140.0,6개월 대형 월간 반복사이클 6회 확인; 평균 24.0거래일 주기; 평균 파동폭 37.75%; 저점권; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,유상증자,20260429,유상증자결정(종속회사의주요경영사항)              ,2,2026-07-03T10:05:51+09:00
33,🔵,🟡̲,000390,SP삼화,KOSPI,2026-07-02,6200,6,28.8,36.59,저점권,"5,770원~6,140원","6,590원~6,900원",약 ±176원 내외 (±2.23%),5670,5710,14300,150.44,5.7,1013308816,True,140.0,6개월 대형 월간 반복사이클 6회 확인; 평균 28.8거래일 주기; 평균 파동폭 36.59%; 저점권; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260529,주식등의대량보유상황보고서(일반),1,2026-07-03T10:05:51+09:00
34,🔵,🟡̲,071950,코아스,KOSPI,2026-07-02,1817,6,27.8,45.19,저점권,"1,571원~1,788원","2,035원~2,210원",약 ±98원 내외 (±5.36%),1522,1350,5180,283.7,12.19,205596503,True,140.0,6개월 대형 월간 반복사이클 6회 확인; 평균 27.8거래일 주기; 평균 파동폭 45.19%; 저점권; 저유동성/매매곤란 주의,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"BW,CB,CB발행,신주인수권,유상증자",20260625,[기재정정]주요사항보고서(자기전환사채매도결정),9,2026-07-03T10:05:51+09:00
35,🔵,✅,000150,두산,KOSPI,2026-07-02,1447000,5,24.8,34.7,저점권 반등 초입,"1,278,000원~1,427,000원","1,596,000원~1,717,000원","약 ±67,500원 내외 (±4.22%)",1244000,735000,2489000,238.64,40.59,161773503569,False,170.0,6개월 대형 월간 반복사이클 5회 확인; 평균 24.8거래일 주기; 평균 파동폭 34.7%; 저점권 반등 초입,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260610,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,20,2026-07-03T10:05:51+09:00
36,🔵,✅,018880,한온시스템,KOSPI,2026-07-02,3800,5,25.0,32.71,저점권 반등 초입,"3,505원~3,735원","4,265원~4,640원",약 ±210원 내외 (±4.51%),3365,2755,5940,115.61,32.81,71739804195,False,165.0,6개월 대형 월간 반복사이클 5회 확인; 평균 25.0거래일 주기; 평균 파동폭 32.71%; 저점권 반등 초입,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,주요주주변동,20260626,임원ㆍ주요주주특정증권등소유상황보고서,1,2026-07-03T10:05:51+09:00
37,🔵,✅,128940,한미약품,KOSPI,2026-07-02,436000,5,23.0,24.22,저점권 반등 초입,"396,000원~431,000원","471,000원~499,500원","약 ±15,900원 내외 (±3.55%)",388500,358500,647000,80.47,26.86,62810337612,False,165.0,6개월 대형 월간 반복사이클 5회 확인; 평균 23.0거래일 주기; 평균 파동폭 24.22%; 저점권 반등 초입,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,주요주주변동,20260702,임원ㆍ주요주주특정증권등소유상황보고서,5,2026-07-03T10:05:51+09:00
38,🔵,✅,090430,아모레퍼시픽,KOSPI,2026-07-02,119400,5,29.4,20.73,저점권 반등 초입,"112,000원~118,200원","125,900원~131,200원","약 ±2,960원 내외 (±2.49%)",110500,94000,169000,79.79,33.87,34459032795,False,165.0,6개월 대형 월간 반복사이클 5회 확인; 평균 29.4거래일 주기; 평균 파동폭 20.73%; 저점권 반등 초입,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,자사주처분",20260522,주식등의대량보유상황보고서(일반),3,2026-07-03T10:05:51+09:00
39,🔵,✅,066570,LG전자,KOSPI,2026-07-02,192300,5,26.8,45.54,저점권 반등 초입,"160,700원~188,500원","220,000원~243,000원","약 ±12,620원 내외 (±5.83%)",154400,86600,438000,405.77,30.08,612228354375,False,160.0,6개월 대형 월간 반복사이클 5회 확인; 평균 26.8거래일 주기; 평균 파동폭 45.54%; 저점권 반등 초입,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,주요주주변동,20260611,임원ㆍ주요주주특정증권등소유상황보고서,1,2026-07-03T10:05:51+09:00
40,🔵,✅,079550,LIG디펜스앤에어로스페이스,KOSPI,2026-07-02,762000,5,26.8,38.7,중간권,"676,000원~752,000원","838,000원~900,000원","약 ±34,450원 내외 (±4.03%)",659000,399500,1118000,179.85,50.45,191656279975,False,160.0,6개월 대형 월간 반복사이클 5회 확인; 평균 26.8거래일 주기; 평균 파동폭 38.7%; 중간권,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,유상증자,주요주주변동",20260702,임원ㆍ주요주주특정증권등소유상황보고서,4,2026-07-03T10:05:51+09:00
